Time,x-axis,y-axis,z-axis
0.603,0.621,0.771,-0.161
0.711,0.62,0.772,-0.159
0.824,0.621,0.772,-0.159
0.932,0.62,0.772,-0.159
1.04,0.622,0.773,-0.159
1.151,0.623,0.772,-0.159
1.257,0.622,0.772,-0.159
1.373,0.621,0.77,-0.159
1.478,0.621,0.771,-0.159
1.588,0.621,0.771,-0.16
1.698,0.621,0.772,-0.159
1.804,0.622,0.771,-0.16
1.915,0.621,0.772,-0.159
2.023,0.621,0.771,-0.159
2.135,0.623,0.771,-0.16
2.242,0.622,0.771,-0.161
2.352,0.621,0.772,-0.161
2.464,0.622,0.771,-0.161
2.573,0.621,0.771,-0.159
2.679,0.621,0.773,-0.16
2.789,0.621,0.77,-0.159
2.898,0.621,0.772,-0.159
3.008,0.621,0.771,-0.158
3.118,0.621,0.771,-0.159
3.229,0.623,0.771,-0.158
3.339,0.62,0.77,-0.16
3.445,0.62,0.771,-0.162
3.554,0.623,0.771,-0.16
3.663,0.623,0.771,-0.159
3.773,0.621,0.771,-0.161
3.883,0.622,0.772,-0.159
3.992,0.621,0.771,-0.159
4.103,0.621,0.771,-0.159
4.211,0.621,0.771,-0.159
4.321,0.622,0.771,-0.159
4.431,0.621,0.772,-0.158
4.538,0.621,0.771,-0.159
4.648,0.622,0.771,-0.159
4.758,0.622,0.771,-0.159
4.868,0.622,0.771,-0.159
4.978,0.621,0.771,-0.159
5.085,0.622,0.771,-0.16
5.195,0.623,0.771,-0.16
5.305,0.621,0.771,-0.159
5.413,0.622,0.772,-0.159
5.523,0.622,0.772,-0.16
5.633,0.621,0.771,-0.159
5.743,0.621,0.772,-0.159
5.851,0.622,0.772,-0.158
5.963,0.621,0.771,-0.159
6.07,0.621,0.772,-0.159
6.182,0.62,0.771,-0.158
6.29,0.621,0.771,-0.159
6.398,0.623,0.772,-0.159
6.507,0.622,0.771,-0.159
6.618,0.622,0.771,-0.159
6.729,0.621,0.772,-0.158
6.838,0.621,0.772,-0.158
6.945,0.621,0.773,-0.157
7.055,0.621,0.772,-0.157
7.165,0.621,0.773,-0.157
7.275,0.621,0.773,-0.156
7.383,0.621,0.772,-0.156
7.493,0.621,0.773,-0.157
7.603,0.622,0.773,-0.158
7.71,0.622,0.773,-0.157
7.819,0.621,0.772,-0.159
7.929,0.621,0.772,-0.158
8.039,0.622,0.772,-0.157
8.15,0.622,0.771,-0.158
8.258,0.622,0.77,-0.158
8.369,0.623,0.771,-0.157
8.476,0.623,0.77,-0.157
8.585,0.622,0.771,-0.158
8.694,0.623,0.771,-0.159
8.807,0.622,0.771,-0.159
8.914,0.623,0.769,-0.158
9.025,0.623,0.768,-0.159
9.132,0.623,0.77,-0.161
9.245,0.623,0.77,-0.16
9.354,0.622,0.77,-0.16
9.461,0.622,0.771,-0.162
9.57,0.623,0.77,-0.16
9.68,0.624,0.769,-0.16
9.791,0.622,0.769,-0.162
9.898,0.623,0.77,-0.161
10.009,0.624,0.77,-0.162
10.117,0.622,0.769,-0.162
10.228,0.622,0.77,-0.161
10.339,0.623,0.769,-0.161
10.445,0.622,0.77,-0.161
10.555,0.623,0.77,-0.162
10.663,0.623,0.77,-0.163
10.776,0.623,0.771,-0.162
10.883,0.622,0.77,-0.162
10.993,0.624,0.772,-0.162
11.103,0.621,0.771,-0.161
11.213,0.62,0.771,-0.161
11.32,0.622,0.771,-0.162
11.433,0.62,0.771,-0.162
11.538,0.62,0.771,-0.162
11.647,0.621,0.771,-0.161
11.758,0.618,0.772,-0.159
11.869,0.618,0.772,-0.161
11.976,0.62,0.771,-0.161
12.088,0.62,0.771,-0.16
12.198,0.619,0.771,-0.159
12.305,0.619,0.772,-0.158
12.413,0.619,0.773,-0.159
12.523,0.62,0.774,-0.158
12.633,0.618,0.774,-0.158
12.743,0.619,0.774,-0.158
12.854,0.619,0.774,-0.157
12.962,0.618,0.773,-0.157
13.07,0.62,0.774,-0.154
13.18,0.619,0.774,-0.156
13.288,0.619,0.773,-0.155
13.398,0.619,0.774,-0.156
13.508,0.618,0.775,-0.153
13.619,0.619,0.775,-0.154
13.728,0.618,0.775,-0.154
13.837,0.619,0.774,-0.154
13.945,0.619,0.774,-0.153
14.055,0.619,0.775,-0.153
14.165,0.619,0.773,-0.152
14.273,0.62,0.775,-0.154
14.383,0.619,0.774,-0.154
14.495,0.62,0.773,-0.154
14.603,0.62,0.772,-0.153
14.713,0.621,0.773,-0.154
14.822,0.621,0.773,-0.153
14.932,0.621,0.773,-0.154
15.039,0.622,0.773,-0.154
15.15,0.621,0.773,-0.155
15.257,0.621,0.772,-0.154
15.369,0.621,0.772,-0.156
15.476,0.621,0.773,-0.156
15.586,0.621,0.772,-0.156
15.695,0.623,0.771,-0.158
15.805,0.621,0.773,-0.158
15.913,0.623,0.772,-0.157
16.023,0.623,0.772,-0.159
16.132,0.623,0.771,-0.159
16.246,0.623,0.771,-0.16
16.352,0.623,0.771,-0.16
16.464,0.622,0.772,-0.161
16.57,0.622,0.77,-0.161
16.682,0.623,0.77,-0.161
16.791,0.623,0.77,-0.162
16.898,0.623,0.77,-0.161
17.008,0.623,0.77,-0.162
17.118,0.623,0.77,-0.161
17.226,0.623,0.77,-0.161
17.338,0.622,0.769,-0.162
17.447,0.622,0.771,-0.162
17.557,0.622,0.771,-0.161
17.665,0.622,0.772,-0.163
17.776,0.621,0.772,-0.162
17.883,0.62,0.771,-0.162
17.994,0.621,0.771,-0.162
18.104,0.622,0.77,-0.162
18.213,0.62,0.77,-0.162
18.321,0.621,0.771,-0.161
18.431,0.621,0.772,-0.161
18.538,0.62,0.771,-0.16
18.648,0.621,0.77,-0.16
18.759,0.621,0.771,-0.162
18.868,0.621,0.771,-0.159
18.977,0.621,0.771,-0.16
19.086,0.621,0.771,-0.161
19.198,0.621,0.77,-0.159
19.304,0.622,0.771,-0.159
19.414,0.621,0.772,-0.157
19.527,0.622,0.773,-0.157
19.635,0.621,0.773,-0.157
19.743,0.62,0.773,-0.158
19.853,0.621,0.772,-0.157
19.963,0.621,0.773,-0.156
20.07,0.623,0.773,-0.158
20.18,0.621,0.772,-0.156
20.292,0.622,0.774,-0.156
20.398,0.621,0.773,-0.155
20.508,0.622,0.771,-0.155
20.621,0.621,0.773,-0.156
20.728,0.621,0.771,-0.155
20.835,0.62,0.771,-0.155
20.946,0.621,0.773,-0.156
21.054,0.623,0.772,-0.155
21.165,0.62,0.771,-0.156
21.273,0.622,0.772,-0.156
21.382,0.622,0.773,-0.157
21.491,0.623,0.772,-0.156
21.601,0.623,0.77,-0.156
21.715,0.62,0.772,-0.155
21.823,0.622,0.772,-0.156
21.932,0.623,0.771,-0.156
22.041,0.622,0.773,-0.156
22.148,0.622,0.772,-0.156
22.259,0.623,0.77,-0.157
22.368,0.622,0.772,-0.157
22.476,0.622,0.772,-0.156
22.586,0.623,0.772,-0.156
22.695,0.622,0.77,-0.156
22.805,0.622,0.772,-0.158
22.914,0.623,0.772,-0.157
23.023,0.623,0.771,-0.157
23.133,0.621,0.771,-0.156
23.244,0.622,0.772,-0.158
23.353,0.622,0.772,-0.158
23.461,0.621,0.771,-0.158
23.571,0.62,0.772,-0.158
23.681,0.621,0.772,-0.159
23.788,0.622,0.771,-0.159
23.901,0.621,0.772,-0.158
24.008,0.622,0.771,-0.16
24.121,0.621,0.771,-0.158
24.228,0.621,0.771,-0.159
24.336,0.621,0.771,-0.16
24.445,0.623,0.772,-0.159
24.554,0.621,0.772,-0.158
24.663,0.621,0.773,-0.158
24.773,0.621,0.772,-0.159
24.883,0.623,0.772,-0.158
24.992,0.62,0.771,-0.158
25.102,0.62,0.773,-0.157
25.214,0.62,0.771,-0.158
25.324,0.62,0.772,-0.158
25.429,0.621,0.771,-0.158
25.541,0.622,0.772,-0.158
25.648,0.622,0.772,-0.159
25.757,0.62,0.773,-0.157
25.868,0.622,0.773,-0.157
25.978,0.621,0.771,-0.158
26.09,0.622,0.772,-0.158
26.195,0.621,0.772,-0.158
26.304,0.621,0.772,-0.157
26.414,0.621,0.772,-0.158
26.524,0.621,0.771,-0.159
26.633,0.621,0.771,-0.159
26.742,0.622,0.771,-0.157
26.851,0.622,0.771,-0.156
26.962,0.621,0.772,-0.157
27.07,0.621,0.77,-0.158
27.179,0.622,0.771,-0.158
27.291,0.622,0.771,-0.158
27.398,0.621,0.772,-0.158
27.509,0.621,0.772,-0.157
27.618,0.621,0.771,-0.157
27.728,0.621,0.772,-0.158
27.838,0.62,0.772,-0.158
27.947,0.618,0.775,-0.161
28.054,0.614,0.777,-0.163
28.164,0.609,0.778,-0.168
28.273,0.606,0.782,-0.168
28.383,0.598,0.788,-0.171
28.493,0.59,0.795,-0.173
28.601,0.581,0.801,-0.182
28.711,0.565,0.81,-0.196
28.821,0.531,0.831,-0.215
28.93,0.505,0.875,-0.163
29.039,0.512,0.892,-0.111
29.149,0.487,0.929,-0.064
29.259,0.486,0.952,-0.013
29.368,0.487,0.958,0.022
29.476,0.501,0.968,0.044
29.588,0.538,0.969,0.034
29.699,0.567,0.965,0.029
29.804,0.614,0.951,0.023
29.914,0.65,0.938,-0.028
30.023,0.702,0.898,-0.074
30.134,0.759,0.856,-0.134
30.242,0.814,0.829,-0.214
30.351,0.788,0.831,-0.295
30.463,0.438,0.851,-0.108
30.573,0.758,0.738,0.082
30.679,0.981,0.676,-0.128
30.791,0.885,0.708,-0.277
30.899,0.82,0.693,-0.263
31.007,0.797,0.664,-0.185
31.12,0.686,0.645,-0.159
31.228,0.612,0.623,-0.236
31.335,0.595,0.614,-0.289
31.446,0.63,0.604,-0.293
31.554,0.662,0.595,-0.262
31.664,0.626,0.595,-0.253
31.773,0.553,0.598,-0.236
31.885,0.583,0.579,-0.244
31.995,0.627,0.597,-0.267
32.102,0.654,0.61,-0.261
32.213,0.662,0.628,-0.251
32.32,0.644,0.65,-0.237
32.433,0.633,0.659,-0.212
32.541,0.626,0.677,-0.184
32.648,0.625,0.696,-0.157
32.757,0.63,0.717,-0.14
32.871,0.633,0.743,-0.11
32.978,0.628,0.752,-0.083
33.085,0.624,0.764,-0.061
33.195,0.626,0.77,-0.047
33.307,0.631,0.776,-0.034
33.415,0.635,0.785,-0.022
33.523,0.633,0.793,-0.019
33.634,0.627,0.804,-0.019
33.743,0.624,0.812,-0.018
33.851,0.621,0.814,-0.027
33.961,0.618,0.814,-0.035
34.071,0.615,0.81,-0.043
34.179,0.608,0.816,-0.059
34.291,0.601,0.823,-0.063
34.398,0.598,0.826,-0.075
34.507,0.591,0.821,-0.088
34.618,0.587,0.818,-0.097
34.728,0.581,0.816,-0.098
34.839,0.577,0.815,-0.1
34.949,0.563,0.817,-0.103
35.054,0.559,0.815,-0.099
35.164,0.562,0.817,-0.099
35.277,0.563,0.818,-0.098
35.383,0.558,0.823,-0.099
35.494,0.557,0.827,-0.099
35.602,0.562,0.83,-0.1
35.713,0.558,0.825,-0.096
35.82,0.559,0.818,-0.094
35.929,0.553,0.816,-0.095
36.038,0.545,0.818,-0.091
36.148,0.557,0.817,-0.086
36.257,0.563,0.818,-0.081
36.368,0.555,0.821,-0.079
36.478,0.55,0.828,-0.077
36.586,0.545,0.833,-0.074
36.694,0.545,0.837,-0.068
36.805,0.54,0.836,-0.067
36.913,0.529,0.844,-0.072
37.023,0.528,0.847,-0.06
37.134,0.528,0.848,-0.057
37.245,0.515,0.859,-0.066
37.353,0.52,0.865,-0.061
37.465,0.515,0.871,-0.06
37.57,0.509,0.871,-0.064
37.682,0.496,0.871,-0.065
37.788,0.49,0.875,-0.068
37.898,0.484,0.877,-0.069
38.009,0.468,0.899,-0.095
38.12,0.467,0.904,-0.1
